Algorithm,Target Colors,Avg Time Taken (ms),Avg SSIM,Avg FPS,Samples
Octree-SOM,8,2161.2322409993794,0.8971238479797261,0.4628494788659994,10
K-Means,8,1296.8431543009501,0.8935010223595053,0.7711769753152415,10
SOM,8,2805.3942852006003,0.882855986571423,0.35664255844146725,10
Octree-K-Means,8,81.43043249947368,0.8741893512437515,12.31391079181636,10
Median-Cut,8,459.33261530044547,0.8569872187753406,2.1773945065126097,10
Octree-Euclidean,8,36.060452199672,0.6361996520831661,27.81229369769677,10
Octree-Baseline,8,25.980583099953947,0.526288840853465,38.52710139800057,10
Uniform,8,2.552331100378069,0.1992171367520786,392.78253542382254,10
Shader-Acerola,8,4.424418899361626,0.1337732926713544,265.0320323328441,10
K-Means,16,2021.0299311998824,0.9341461501625172,0.49481542785852917,10
Octree-SOM,16,998.7461782995524,0.9318897932693069,1.0018773782156527,10
SOM,16,3120.9204863003833,0.9312713923793984,0.32043791549853046,10
Median-Cut,16,456.8469522993837,0.9207707041889563,2.189125888488034,10
Octree-K-Means,16,90.15898289981124,0.9008844479213488,11.125244841783271,10
Octree-Euclidean,16,52.964114001224516,0.7989546262170223,18.91740702622781,10
Octree-Baseline,16,37.85721009990084,0.7343213361483348,26.448419561121653,10
Uniform,16,2.5943205000658054,0.41636678702627605,387.0111495020855,10
Shader-Acerola,16,3.3319992002361687,0.2794188964394334,301.05572765530013,10
K-Means,32,3625.550929399833,0.9600670892726683,0.27582684530130513,10
SOM,32,4092.54856309999,0.9578275487256696,0.24461213271323973,10
Octree-SOM,32,466.5676780990907,0.9515120447926328,2.145199279311025,10
Median-Cut,32,459.5249292007793,0.9394597887382143,2.1766931603816704,10
Octree-K-Means,32,100.21599009996862,0.9295265490409144,10.042368612196391,10
Octree-Euclidean,32,64.15586169932794,0.8064824760463052,15.64121555139873,10
Octree-Baseline,32,37.40588370005753,0.7407926997519191,26.80863769155469,10
Uniform,32,2.5217558999429457,0.41636678702627605,397.19473615987056,10
Shader-Acerola,32,3.9692041998932837,0.2794188964394334,280.5451186416075,10
SOM,64,6314.450842799488,0.975672113508379,0.15837805070284533,10
K-Means,64,7000.967356799811,0.9756118451286632,0.14283936056325242,10
Octree-SOM,64,273.87322209942795,0.9701321236653108,3.6547640298346216,10
Octree-K-Means,64,128.6484340998868,0.9667360453213105,7.832153808787967,10
Median-Cut,64,456.84077789956063,0.953445717002172,2.189131673897832,10
Octree-Euclidean,64,112.97287950037571,0.9263333560182028,8.880338700006265,10
Octree-Baseline,64,50.26119619992642,0.8893702535420089,19.9257869534891,10
Uniform,64,2.5303507998614805,0.5672131459182138,395.5215064891629,10
Shader-Acerola,64,3.4910766989924014,0.3818672435442898,289.1614618572675,10
SOM,128,8321.59877869999,0.9847216700881856,0.12017263704073045,10
K-Means,128,14018.707912699392,0.9845507234445329,0.07133352869932999,10
Octree-K-Means,128,175.42273649996787,0.9792176962449236,5.717637237916207,10
Octree-SOM,128,227.13172499970824,0.9749418162768787,4.405446808797745,10
Median-Cut,128,458.86618490076216,0.9607779712806244,2.1795030052436757,10
Octree-Euclidean,128,155.67790919958497,0.9437604366439029,6.429683039545344,10
Octree-Baseline,128,43.49252159995558,0.9182096162983615,23.00920169008121,10
Uniform,128,2.67887569971208,0.6696877252140023,377.7403459378053,10
Shader-Acerola,128,3.27111699989473,0.4555571477480977,306.0338910960037,10
SOM,256,18048.780459499903,0.989290494535596,0.0554118073313122,10
K-Means,256,28381.86966590074,0.9888900133904329,0.035233867260207864,10
Octree-K-Means,256,309.17445729974133,0.9855501679252135,3.2384138097833053,10
Octree-SOM,256,329.2200596002658,0.9824544294220446,3.0411924625807187,10
Octree-Euclidean,256,278.40350910046254,0.9722629975444917,3.593671351260942,10
Median-Cut,256,467.78365160025714,0.9674664054833755,2.1387000322580487,10
Octree-Baseline,256,63.54863040014607,0.9606651446281026,15.752744767057843,10
Uniform,256,2.513677699607797,0.7407804147812319,397.9840955627165,10
Shader-Acerola,256,4.1055816000152845,0.5048703418770413,273.37900722991105,10
