Algorithm,Target Colors,Avg Time Taken (ms),Avg SSIM,Avg FPS,Samples
K-Means,8,133.8306494999415,0.8889441351020979,7.4790554847940225,10
SOM,8,249.25303650088608,0.8814037008124332,4.021592698338904,10
Octree-SOM,8,82.4837056992692,0.8813559832506158,12.150271025548161,10
Octree-K-Means,8,13.79954820004059,0.86663504669371,72.87751938596901,10
Median-Cut,8,54.36894779923023,0.852223389612362,18.412975951119325,10
Octree-Euclidean,8,5.673840300369193,0.6173075340213312,182.43083773132463,10
Octree-Baseline,8,5.011084000034316,0.49086610833685446,221.74617436649268,10
Uniform,8,0.339054500364,0.149315010094826,2971.0972029910035,10
Shader-Acerola,8,0.6995390005613444,0.084413144413809,1445.269577157037,10
SOM,16,289.18028919943026,0.9353762430881108,3.4605164731226052,10
K-Means,16,219.7231255009683,0.931581682017297,4.551710148674295,10
Octree-SOM,16,42.04532509975252,0.9293454007327272,23.860541773846208,10
Median-Cut,16,54.144241199901444,0.9220955714750051,18.476456400397517,10
Octree-K-Means,16,15.220399199824897,0.8947787817823267,66.01410080991681,10
Octree-Euclidean,16,7.404548699196312,0.7983967952578453,139.4639106867055,10
Octree-Baseline,16,7.097729499992056,0.7346470183744005,150.26646160499004,10
Uniform,16,0.3131300993118202,0.3646494097123744,3195.3614389455206,10
Shader-Acerola,16,0.7171950001065852,0.1898981054532004,1413.179718182597,10
Octree-SOM,32,21.586490599656827,0.9599007499408098,46.37408286355958,10
SOM,32,441.74265320034465,0.9596567656199276,2.2640675849820977,10
K-Means,32,396.2365860996215,0.9589839346309524,2.524626797540262,10
Median-Cut,32,52.47307909994561,0.9438060247765634,19.08663617422399,10
Octree-K-Means,32,17.753758400431252,0.9353833442313064,57.10870182642422,10
Octree-Euclidean,32,9.389502100020763,0.8424915072903412,110.7816644587198,10
Octree-Baseline,32,6.390324699987104,0.7918269403569403,169.10823447664916,10
Uniform,32,0.31519180010945996,0.3646494097123744,3175.260792241079,10
Shader-Acerola,32,0.7803188997058896,0.1898981054532004,1340.2968921944057,10
SOM,64,757.5606055004755,0.9768422724191446,1.3201118787338737,10
K-Means,64,773.023707500397,0.9757011070774364,1.2936974166865292,10
Octree-SOM,64,20.5309535991546,0.970840385188794,48.98739325650082,10
Octree-K-Means,64,22.3103672000434,0.9607141619810339,45.23315097384178,10
Median-Cut,64,53.98712339992926,0.9553243522889417,18.53929097105606,10
Octree-Euclidean,64,13.597278900851961,0.9281515938854042,75.16932445626358,10
Octree-Baseline,64,6.363215400051558,0.8906445909094352,159.23231932514162,10
Uniform,64,0.3188505994330626,0.5288358897882238,3143.697595204916,10
Shader-Acerola,64,0.7612814999447437,0.276841699678559,1348.949803232165,10
SOM,128,1219.6031065999705,0.9860620870805624,0.8199595723325158,10
K-Means,128,1537.5088362005044,0.9851179656112542,0.650422005399348,10
Octree-K-Means,128,30.04853730017203,0.9776327882587939,33.617365509298196,10
Octree-SOM,128,23.132713900486124,0.9741936970643268,43.66065208192004,10
Median-Cut,128,55.45218479965115,0.9634922614740672,18.05343684957115,10
Octree-Euclidean,128,19.08068970005843,0.9480501977506857,53.08558975752417,10
Octree-Baseline,128,7.05790000010893,0.9231592737173424,149.26480860844214,10
Uniform,128,0.3263429003709461,0.6480674323828539,3074.1048140429525,10
Shader-Acerola,128,0.7536574998084689,0.3444507267822494,1340.161954136848,10
SOM,256,1976.2322189002589,0.9903360292720856,0.5060158173571617,10
K-Means,256,3132.4125609000475,0.9896369993028957,0.31924548399801367,10
Octree-K-Means,256,64.59052589962084,0.9839453455989815,15.527352373327778,10
Octree-SOM,256,36.65499649941921,0.9821845807956328,27.545369471706675,10
Octree-Euclidean,256,37.04297460062662,0.975392571983925,27.348615015994437,10
Median-Cut,256,56.67479080148041,0.9702150374438585,17.684627388358074,10
Octree-Baseline,256,9.556418499869324,0.9623854025686811,106.93638793174986,10
Uniform,256,0.3185139004926896,0.7294014439363509,3140.3302522942213,10
Shader-Acerola,256,0.8624839003459783,0.3884503457367895,1310.8275500860495,10
