Algorithm,Target Colors,Avg Time Taken (ms),Avg SSIM,Avg FPS,Samples
Octree-SOM,8,401.24666540032194,0.8910286228220723,2.5030533211169343,10
K-Means,8,532.3269842003356,0.8883847023874312,1.8786834185880927,10
SOM,8,1167.849206300525,0.8822278247898007,0.8565524625505686,10
Octree-K-Means,8,37.7626875997521,0.8751802565581812,26.518385878225075,10
Median-Cut,8,234.14623559947358,0.8595787741028786,4.271082370069718,10
Octree-Euclidean,8,16.334979799285065,0.6324570479790719,61.55649352718427,10
Octree-Baseline,8,12.588239600017914,0.5153505055764925,80.06095636550711,10
Uniform,8,1.1403458003769629,0.1709633614889372,877.3003072719742,10
Shader-Acerola,8,1.7208130990184145,0.1115985631141883,585.0584881434463,10
K-Means,16,876.2001174000034,0.9309451038719206,1.1413527133131711,10
SOM,16,1513.9832622007816,0.930281741407048,0.6606212415170478,10
Octree-SOM,16,211.02605420019245,0.9218514469138596,4.759361958850833,10
Median-Cut,16,234.19113000018115,0.9199688847062184,4.270608952433492,10
Octree-K-Means,16,42.998874700060696,0.9063749676598754,23.551049372277745,10
Octree-Euclidean,16,26.711102300396306,0.7994916982114776,37.79768920165312,10
Octree-Baseline,16,16.903065799851902,0.7375972888243422,59.35294601024045,10
Uniform,16,1.1528944000019692,0.388541680288129,867.7162618853988,10
Shader-Acerola,16,1.6760573998908512,0.2491432358656243,601.0652743753578,10
K-Means,32,1588.2020938002825,0.9603691505224472,0.6296556457311214,10
SOM,32,2165.3706620003504,0.9584091059989852,0.46182396871770937,10
Octree-SOM,32,95.99397780038998,0.957998872386564,10.488470006863885,10
Median-Cut,32,233.00035069951264,0.9415055350967666,4.292424202830131,10
Octree-K-Means,32,47.50583929999266,0.9271816724554212,21.1566610439341,10
Octree-Euclidean,32,31.191259599654586,0.839725283092031,32.330847038008635,10
Octree-Baseline,32,15.625914999964152,0.7909771333547292,64.3594672357842,10
Uniform,32,1.1543429005541839,0.388541680288129,867.651243447535,10
Shader-Acerola,32,1.7534400009026285,0.2491432358656243,579.0173902008653,10
SOM,64,2381.968210999912,0.9765043790469321,0.41982852545321575,10
K-Means,64,3092.891147401315,0.9747372069330345,0.3233251190186806,10
Octree-SOM,64,85.40594369951577,0.9718898390076255,11.76701750323533,10
Octree-K-Means,64,61.41721370004234,0.9579388615122959,16.44483740264849,10
Median-Cut,64,233.0065371999808,0.9542073310626813,4.291997749359419,10
Octree-Euclidean,64,50.033861200427054,0.9268196017409795,20.090467675078695,10
Octree-Baseline,64,21.742241199945056,0.8894117380091136,46.022829834221035,10
Uniform,64,1.112548800301738,0.5445070530572279,900.0097278599926,10
Shader-Acerola,64,1.738388100420707,0.3521173571802775,581.8212569115055,10
SOM,128,4347.061347799172,0.9854049570815588,0.23004382824226238,10
K-Means,128,6225.046646399642,0.9849395449751294,0.16064419340406114,10
Octree-K-Means,128,82.03673510033695,0.979459365489805,12.227193063563574,10
Octree-SOM,128,86.23940249963198,0.9727786292212564,11.636823242634616,10
Median-Cut,128,234.0095913001278,0.9619479027841645,4.274131622544169,10
Octree-Euclidean,128,71.4612389998365,0.9402158855376932,14.081980631005774,10
Octree-Baseline,128,19.991885800027376,0.913107608944045,50.12725241894513,10
Uniform,128,1.122170899543562,0.6549978112547494,891.4710521251342,10
Shader-Acerola,128,1.6707774997485103,0.42933461130545164,599.9788164982754,10
SOM,256,7258.329736000815,0.9900880349579388,0.1377746093346828,10
K-Means,256,12575.922937900395,0.9894859359980025,0.07951803810732047,10
Octree-K-Means,256,156.32161559988162,0.985859954717743,6.404360145868958,10
Octree-SOM,256,133.41279559972463,0.9820316205474391,7.507579863263404,10
Octree-Euclidean,256,128.51810940010182,0.9734561843976024,7.806792851421127,10
Median-Cut,256,238.32268589976593,0.9683298648151982,4.197048702760133,10
Octree-Baseline,256,27.782714499971917,0.9612948293748946,36.06262929063091,10
Uniform,256,1.1642243000096641,0.7311482154495006,861.9194145142641,10
Shader-Acerola,256,1.7405099988536676,0.48047538772593795,585.1124835272678,10
